# Site: US-GL2
# Version: 2-5
TIMESTAMP_START,TIMESTAMP_END,TAU,TAU_SSITC_TEST,H,H_SSITC_TEST,LE,LE_SSITC_TEST,FC,FC_SSITC_TEST,FH2O,CO2,CO2_MIXING_RATIO,H2O,H2O_MIXING_RATIO,T_SONIC,TA,PA,RH,VPD_PI,WS,WS_MAX,WD,USTAR,MO_LENGTH,ZL,FETCH_MAX,FETCH_70,FETCH_90,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,LW_IN,WD_SIGMA,TW
202501010000,202501010030,-0.393797,1,57.3601,0,81.6046,0,-2.79171,1,1.81134,429.589,431.414,4.23038,4.24835,-0.279,0.01,98.546,68.3773,1.92851,8.66837,11.6282,290.066,0.560201,-264.245,-0.102935,710.919,1299.79,1947.32,0.777528135,0.942019108,0.577066721,0.185772441,0.483,286,5.101514,-9999
202501010030,202501010100,-0.563611,1,61.4556,0,144.037,0,-0.560813,0,3.19734,429.805,431.633,4.2345,4.2525,-0.21,0.078,98.5397,68.1029,1.95486,9.25752,13.714,286.705,0.670294,-422.473,-0.0643827,740.104,1353.15,2027.26,1.112551122,0.915443062,0.65660795,0.219038809,0.518,289.2,5.785104,-9999
202501010100,202501010130,-0.476006,1,68.1849,0,105.641,0,-0.303674,0,2.34471,429.789,431.62,4.24233,4.2604,-0.355,-0.067,98.5346,68.9482,1.8831,8.45201,12.3531,294.81,0.615856,-295.323,-0.0921026,734.493,1342.89,2011.89,1.034785002,1.079916663,0.609048438,0.235005532,0.541,287.5,4.883761,-9999
202501010130,202501010200,-0.661562,1,46.2006,0,105.244,0,-0.472866,0,2.33567,429.575,431.348,4.11123,4.1282,-0.469,-0.17,98.5097,67.302,1.96816,9.24275,13.7749,295.449,0.725972,-713.794,-0.0381062,804.763,1471.36,2204.37,1.171682551,1.229516165,0.640459991,0.191432756,0.476,288.2,5.211331,-9999
202501010200,202501010230,-0.714759,1,62.1362,0,103.829,0,-1.52419,0,2.30435,429.755,431.599,4.27272,4.29105,-0.405,-0.127,98.4981,69.7168,1.82857,9.55079,13.5319,297.621,0.754724,-596.287,-0.0456156,787.021,1438.93,2155.77,0.945324812,1.261562523,0.684640051,0.230941551,0.442,284.2,4.964647,-9999
202501010230,202501010300,-0.438734,1,49.0137,0,26.6838,1,-1.27299,0,0.59211,430.046,431.931,4.36441,4.38354,-0.607,-0.308,98.5254,72.1759,1.65813,9.36104,12.2067,299.744,0.591034,-363.116,-0.0749071,779.953,1426,2136.41,0.791331157,1.12247049,0.542230578,0.20482578,0.438,283.7,5.20198,-9999
202501010300,202501010330,-0.518832,0,59.0874,0,70.8173,0,-1.42015,0,1.57125,430.018,431.874,4.29927,4.31784,-0.727,-0.428,98.541,71.7375,1.66953,9.30205,12.7278,296.006,0.642524,-387.03,-0.0702788,762.183,1393.51,2087.74,1.170598138,1.020808503,0.606697618,0.197958329,0.5,290.1,5.149544,-9999
202501010330,202501010400,-0.64088,1,62.8698,0,92.4836,0,-1.7339,0,2.05179,429.731,431.569,4.25824,4.27645,-0.816,-0.522,98.5319,71.532,1.67024,10.4287,14.2875,302.552,0.714014,-499.133,-0.0544945,780.327,1426.69,2137.44,1.08744655,1.222305199,0.654662508,0.253883241,0.449,291.4,5.300358,-9999
202501010400,202501010430,-0.412321,0,73.5946,0,110.07,0,-1.04204,0,2.44177,429.133,430.938,4.18782,4.20543,-0.906,-0.603,98.5649,70.7924,1.70348,9.03371,12.4016,295.981,0.572522,-219.871,-0.123709,691.134,1263.61,1893.12,1.017442873,1.010940156,0.610937804,0.244528117,0.502,291.1,5.140308,-9999
202501010430,202501010500,-0.281125,1,71.4412,0,100.821,0,-1.26078,0,2.23629,429.053,430.843,4.15367,4.17099,-1.043,-0.743,98.5683,70.9366,1.67788,8.31045,11.2307,296.595,0.47261,-127.411,-0.213483,648.732,1186.09,1776.98,0.798027568,0.862984357,0.545856208,0.224387388,0.478,291.3,4.826168,-9999
202501010500,202501010530,-0.468369,1,80.1678,0,110.957,0,-1.42532,0,2.46106,428.986,430.798,4.20779,4.22557,-1.06,-0.761,98.5604,71.9527,1.61703,8.3444,11.6372,294.872,0.610034,-244.167,-0.111399,736.405,1346.38,2017.13,0.913167564,1.026333279,0.60133435,0.229728971,0.487,290.8,4.709201,-9999
202501010530,202501010600,-0.321503,1,50.2528,0,67.5742,0,0.870787,1,1.49872,429.231,431.069,4.26407,4.28233,-1.123,-0.835,98.5688,73.3163,1.53012,7.82626,11.2512,297.398,0.505336,-221.429,-0.122839,711.349,1300.57,1948.5,0.764625398,0.8458611,0.520156707,0.197568975,0.466,290.8,5.160089,-9999
202501010600,202501010630,-0.189547,1,61.1528,0,88.9698,0,-2.52836,0,1.97323,429.229,431.103,4.3482,4.36719,-1.134,-0.843,98.5843,74.8195,1.44306,8.1019,11.0776,291.839,0.387983,-82.3625,-0.330247,590.129,1078.94,1616.45,0.762465081,0.679038291,0.50441253,0.209731733,0.492,291.6,5.074344,-9999
202501010630,202501010700,-0.260812,1,46.4576,0,67.4887,0,-1.08862,0,1.49677,429.195,431.087,4.39026,4.40962,-1.146,-0.872,98.6035,75.7178,1.38864,8.13176,11.8755,291.819,0.455046,-174.937,-0.155485,632.387,1156.2,1732.21,0.777476688,0.818127129,0.54260575,0.199895473,0.488,289.4,4.913458,-9999
202501010700,202501010730,-0.621381,1,83.0565,0,134.51,0,-0.996675,0,2.98322,429.211,431.099,4.37857,4.39782,-1.137,-0.854,98.6021,75.417,1.40767,9.02196,12.1829,295.44,0.702404,-359.877,-0.075581400000000007,743.829,1359.96,2037.46,0.889601596,1.119888387,0.683759461,0.22546818,0.435,288.9,5.013988,-9999
202501010730,202501010800,-0.468777,0,76.4074,0,118.754,0,-1.25637,0,2.63355,428.923,430.684,4.08902,4.10581,-1.239,-0.943,98.6093,70.8928,1.65597,10.0272,14.1828,296.628,0.609932,-256.139,-0.106192,748.059,1367.69,2049.05,1.084864047,1.01918595,0.589547284,0.252599881,0.603,286.3,4.656842,-9999
202501010800,202501010830,-0.506795,1,83.0176,0,115.21,0,-1.72944,0,2.55466,428.778,430.464,3.91666,3.93206,-1.377,-1.067,98.6308,68.5414,1.7735,10.0508,13.6237,292.317,0.633948,-264.736,-0.102744,688.903,1259.53,1887.01,1.011726248,1.026591447,0.679224558,0.24959988,3.407,282.9,4.520656,-9999
202501010830,202501010900,-0.400524,1,81.9973,0,114.852,0,-1.83381,0,2.54623,428.657,430.375,3.99018,4.00617,-1.599,-1.271,98.6619,70.9005,1.6162,10.0666,13.1345,287.819,0.563283,-188.064,-0.144632,671.7,1228.08,1839.89,0.804849054,0.940387154,0.622894052,0.265820992,14.09,280.4,4.696312,-9999
202501010900,202501010930,-0.598159,1,115.175,0,150.954,0,-1.53093,0,3.34575,428.547,430.324,4.12911,4.14623,-1.862,-1.538,98.7114,74.8644,1.36884,9.30011,12.7355,283.576,0.687874,-243.927,-0.111509,753.211,1377.11,2063.16,0.88035561,1.263874994,0.659204824,0.297679022,23.23,288.6,4.577266,-9999
202501010930,202501011000,-1.12598,1,142.635,1,140.431,0,-6.11778,1,3.11209,428.594,430.296,3.95346,3.96916,-2.014,-1.683,98.7294,72.4604,1.48388,10.4511,13.8157,290.011,0.9434,-508.151,-0.0535274,843.38,1541.97,2310.15,1.165808732,1.649899997,0.784917193,0.333639026,17.48,298.2,5.338403,-9999
202501011000,202501011030,-0.879753,1,81.0246,0,99.04,0,-1.6521,0,2.19437,428.606,430.298,3.93082,3.94633,-2.258,-1.905,98.7575,73.2525,1.41785,9.91278,13.8873,301.809,0.833433,-616.897,-0.0440916,813.439,1487.23,2228.14,1.123770439,1.394973118,0.725472949,0.287309589,47.32,299.9,5.550195,-9999
202501011030,202501011100,-0.532687,0,82.6598,0,94.395,0,-1.18348,0,2.09148,428.679,430.298,3.76148,3.77569,-2.291,-1.891,98.799,70.0537,1.58906,9.13442,13.2232,290.475,0.648384,-284.799,-0.0955059,753.931,1378.43,2065.13,1.266791222,1.059164765,0.620619046,0.268287719,136.3,291.8,4.764392,-9999
202501011100,202501011130,-0.412291,1,98.6452,0,133.398,0,-2.25728,0,2.95556,428.71,430.314,3.72723,3.74117,-2.301,-1.923,98.7934,69.5792,1.61036,9.68882,12.7874,284.594,0.570403,-162.474,-0.167411,682.91,1248.58,1870.6,0.981459627,0.860764776,0.617851924,0.277103049,96.5,299.5,4.585205,-9999
202501011130,202501011200,-0.48569,1,109.732,0,153.321,0,-1.90245,0,3.39724,428.695,430.277,3.67735,3.69092,-2.274,-1.839,98.7697,68.2078,1.69341,8.85281,12.6532,286.379,0.619262,-186.866,-0.145559,725.607,1326.64,1987.55,1.040869829,0.990183821,0.621805436,0.281276732,94.4,300.8,5.290721,-9999
202501011200,202501011230,-0.527979,1,83.9708,0,103.033,0,-1.97406,0,2.28276,428.593,430.14,3.59474,3.60771,-2.373,-1.943,98.7551,67.1763,1.73506,9.25497,12.3333,285.303,0.645574,-276.628,-0.0983271,730.928,1336.37,2002.13,0.987113469,1.08857246,0.642332468,0.28541426,203.6,291.8,5.495602,-9999
202501011230,202501011300,-0.571866,1,69.9418,0,88.1716,0,-1.86104,0,1.95316,428.495,430.001,3.50311,3.51542,-2.545,-2.121,98.7325,66.3166,1.75721,10.321,14.0899,288.209,0.671714,-374.044,-0.0727187,753.409,1377.47,2063.7,1.121155654,1.177263777,0.643506799,0.265588027,191,291.1,6.001106,-9999
202501011300,202501011330,-0.649879,1,124.608,0,149.03,0,-2.22183,0,3.30125,428.445,429.992,3.59726,3.61025,-2.6,-2.135,98.7048,68.1507,1.6598,10.6647,14.1867,298.14,0.716161,-254.398,-0.106919,754.356,1379.2,2066.3,1.089449402,1.168995295,0.685010949,0.334363575,272.3,288.7,7.671909,-9999
202501011330,202501011400,-1.10387,1,90.206,1,84.7839,1,-1.5298,1,1.87769,428.419,429.91,3.46912,3.48119,-2.828,-2.363,98.7082,66.8417,1.69915,9.6816,13.3082,300.645,0.932937,-776.871,-0.0350122,891.269,1629.52,2441.33,1.208838285,1.501712356,0.724432882,0.273461332,149.9,298.5,4.804037,-9999
202501011400,202501011430,-0.634514,1,93.282,0,100.83,0,-1.93069,0,2.23308,428.331,429.819,3.46211,3.47414,-2.802,-2.351,98.7088,66.6492,1.71051,9.59481,13.5105,299.002,0.70733,-327.414,-0.0830752,785.255,1435.7,2150.93,1.170858659,1.127763273,0.64345163,0.305793067,34.88,301.6,5.631787,-9999
202501011430,202501011500,-0.431935,1,81.4755,0,87.4454,0,-0.946188,0,1.9367,428.362,429.8,3.34425,3.35547,-2.764,-2.325,98.7245,64.2688,1.83606,9.34649,12.3679,298.558,0.583562,-210.526,-0.1292,717.628,1312.05,1965.69,0.957698804,1.015337382,0.594114467,0.271486648,76.63,299,6.299634,-9999
202501011500,202501011530,-0.787725,1,77.396,1,58.4351,1,-1.76743,1,1.29417,428.373,429.86,3.45968,3.4717,-2.756,-2.347,98.7272,66.5959,1.71373,9.52471,13.8826,302.784,0.788045,-545.786,-0.0498364,857.387,1567.58,2348.52,1.246089884,1.292215152,0.642298996,0.290198725,54.34,299.3,5.371995,-9999
202501011530,202501011600,-0.672704,1,104.31,0,133.235,0,-1.98483,0,2.95029,428.439,429.974,3.5692,3.58199,-2.892,-2.519,98.7456,69.5987,1.53991,10.6328,14.2463,303.215,0.727958,-319.26,-0.085197,758.457,1386.7,2077.53,1.120160703,1.249783981,0.691591643,0.316091442,45.16,298.6,5.137531,-9999
202501011600,202501011630,-0.993367,1,127.728,0,140.274,0,-2.441,0,3.10592,428.516,429.967,3.37587,3.3873,-2.98,-2.601,98.793,66.262,1.69857,10.6771,15.9335,298.917,0.884226,-467.401,-0.0581942,820.197,1499.58,2246.65,1.250927656,1.433174797,0.761767681,0.325984662,24.75,295.2,4.665023,-9999
202501011630,202501011700,-0.972575,1,109.233,0,124.903,0,-3.05188,0,2.76556,428.336,429.722,3.22584,3.23627,-2.99,-2.609,98.8275,63.3772,1.8427,9.92531,14.5256,294.254,0.874733,-529.246,-0.0513939,833.85,1524.54,2284.04,1.38604834,1.431778614,0.738197805,0.312158133,8.67,297.7,5.596365,-9999
202501011700,202501011730,-0.650562,0,116.774,0,136.32,0,-2.78765,0,3.01781,428.312,429.702,3.23436,3.24486,-3.167,-2.794,98.834,64.4311,1.76517,10.2853,15.7372,297.903,0.715148,-270.549,-0.100536,728.724,1332.34,1996.09,1.400503481,1.178677225,0.714248556,0.341801112,1.558,299.6,6.037035,-9999
202501011730,202501011800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.521,299.2,5.896914,-9999
202501011800,202501011830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.443,296.5,9.484439,-9999
202501011830,202501011900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.226,298.1,9.518497,-9999
202501011900,202501011930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.132,293.6,8.423318,-9999
202501011930,202501012000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.41,291.8,11.55634,-9999
202501012000,202501012030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.409,291.6,4.844204,-9999
202501012030,202501012100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.423,291.8,4.970905,-9999
202501012100,202501012130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.393,290.8,5.073342,-9999
202501012130,202501012200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.338,289.2,4.832646,-9999
202501012200,202501012230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.368,287.7,4.823047,-9999
202501012230,202501012300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.37,285.9,5.442833,-9999
202501012300,202501012330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.114,246.5,5.489443,-9999
202501012330,202501020000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.213,264.5,5.979334,-9999
202501020000,202501020030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.534,294,7.761482,-9999
202501020030,202501020100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.274,274.9,5.608581,-9999
202501020100,202501020130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.325,283.1,4.985007,-9999
202501020130,202501020200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.331,283.4,5.030884,-9999
202501020200,202501020230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.368,286.4,5.166867,-9999
202501020230,202501020300,-0.453876,0,121.197,0,126.667,0,-2.6027,0,2.79966,427.15,428.54,3.2423,3.25284,-4.936,-4.478,99.0524,73.4301,1.16239,11.3821,15.1454,284.298,0.594819,-150.226,-0.181061,687.117,1256.27,1882.12,1.042640878,1.059617856,0.639372348,0.374256596,0.278,290,4.718286,-9999
202501020300,202501020330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.266,293.8,4.777507,-9999
202501020330,202501020400,-0.489329,0,115.87,0,120.005,0,-2.59583,0,2.65225,427.4,428.749,3.1469,3.15683,-4.996,-4.544,99.1075,71.6628,1.23358,10.6702,14.8798,282.898,0.617355,-175.743,-0.154771,691.727,1264.7,1894.75,1.112775809,1.192539308,0.658072944,0.414270443,0.448,298.9,4.75741,-9999
202501020400,202501020430,-0.489551,0,139.068,0,145.267,0,-2.40451,0,3.21056,427.127,428.475,3.14689,3.15683,-5.005,-4.547,99.1195,71.6888,1.23215,10.9163,14.8993,283.443,0.617454,-146.511,-0.185652,677.954,1239.52,1857.02,1.082968144,1.012886963,0.674934071,0.414908424,0.582,301.5,4.890802,-9999
202501020430,202501020500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.603,303,5.869628,-9999
202501020500,202501020530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.609,302.7,5.273952,-9999
202501020530,202501020600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.65,302.5,5.74127,-9999
202501020600,202501020630,-0.409994,1,99.0394,0,116,0,-0.340913,0,2.56332,426.073,427.405,3.11606,3.12581,-5.191,-4.716,99.208,71.9617,1.20482,9.94404,13.4747,276.911,0.564627,-157.411,-0.172796,660.514,1207.63,1809.25,0.964155589,1.134420557,0.637626066,0.436548966,0.581,301,6.042345,-9999
202501020630,202501020700,-0.482277,1,158.118,0,153.717,0,-2.77989,0,3.39647,425.961,427.303,3.13943,3.14932,-5.272,-4.814,99.2249,73.0516,1.14945,9.91896,13.9292,283.303,0.612219,-125.704,-0.216381,653.328,1194.49,1789.57,1.066386422,1.104418399,0.700889435,0.413711252,0.72,297.1,36.44359,-9999
202501020700,202501020730,-0.416384,1,119.186,0,118.74,0,-2.61766,0,2.62373,425.246,426.579,3.12455,3.13434,-5.228,-4.771,99.2358,72.4802,1.1776,10.6975,14.6418,281.919,0.568872,-133.802,-0.203285,659.746,1206.23,1807.15,1.018150284,1.04284227,0.643356045,0.377446685,0.369,292.3,33.96357,-9999
202501020730,202501020800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.467,289.7,16.03124,-9999
202501020800,202501020830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.543,296,8.171233,-9999
202501020830,202501020900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.99,298,8.871902,-9999
202501020900,202501020930,-0.492261,0,126.343,0,128.811,0,-2.6919400000000002,0,2.8459,424.685,425.965,3.0037,3.01275,-5.385,-4.902,99.2905,70.4082,1.2538,10.4814,14.5914,281.937,0.618202,-162.049,-0.16785,693.862,1268.6,1900.6,1.110914038,1.203710929,0.656441163,0.384789553,52.59,279,7.639983,-9999
